Date,Type,Entry Price,Exit Price,Profitability
1995-04-27,Buy,513.5499877929688,,
1995-05-18,Sell,,519.5800170898438,1.0
1995-06-02,Buy,532.510009765625,,
1995-06-08,Sell,,532.3499755859375,0.0
1995-06-16,Buy,539.8300170898438,,
1995-06-28,Sell,,544.72998046875,1.0
1995-07-06,Buy,553.989990234375,,
1995-07-19,Sell,,550.97998046875,0.0
1995-09-01,Buy,563.8400268554688,,
1995-10-23,Sell,,585.0599975585938,1.0
1995-11-03,Buy,590.5700073242188,,
1995-12-15,Sell,,616.3400268554688,1.0
1996-01-23,Buy,612.7899780273438,,
1996-02-20,Sell,,640.6500244140625,1.0
1996-03-22,Buy,650.6199951171875,,
1996-03-28,Sell,,648.9400024414062,0.0
1996-04-02,Buy,655.260009765625,,
1996-04-08,Sell,,644.239990234375,0.0
1996-04-22,Buy,647.8900146484375,,
1996-05-03,Sell,,641.6300048828125,0.0
1996-05-13,Buy,661.510009765625,,
1996-05-31,Sell,,669.1199951171875,1.0
1996-07-01,Buy,675.8800048828125,,
1996-07-05,Sell,,657.4400024414062,0.0
1996-07-31,Buy,639.9500122070312,,
1996-08-29,Sell,,657.4000244140625,1.0
1996-09-11,Buy,667.280029296875,,
1996-10-23,Sell,,707.27001953125,1.0
1996-11-06,Buy,724.5900268554688,,
1996-12-03,Sell,,748.280029296875,1.0
1996-12-24,Buy,751.030029296875,,
1997-01-02,Sell,,737.010009765625,0.0
1997-01-09,Buy,754.8499755859375,,
1997-01-27,Sell,,765.02001953125,1.0
1997-01-31,Buy,786.1599731445312,,
1997-02-06,Sell,,780.1500244140625,0.0
1997-02-07,Buy,789.5599975585938,,
1997-02-10,Sell,,785.4299926757812,0.0
1997-02-12,Buy,802.77001953125,,
1997-02-26,Sell,,805.6799926757812,1.0
1997-04-17,Buy,761.77001953125,,
1997-05-29,Sell,,844.0800170898438,1.0
1997-06-11,Buy,869.5700073242188,,
1997-06-25,Sell,,888.989990234375,1.0
1997-07-07,Buy,912.2000122070312,,
1997-07-18,Sell,,915.2999877929688,1.0
1997-07-24,Buy,940.2999877929688,,
1997-07-28,Sell,,936.4500122070312,0.0
1997-07-30,Buy,952.2899780273438,,
1997-08-07,Sell,,951.1900024414062,0.0
1997-09-04,Buy,930.8699951171876,,
1997-09-11,Sell,,912.5900268554688,0.0
1997-09-16,Buy,945.6400146484376,,
1997-10-15,Sell,,965.719970703125,1.0
1997-11-17,Buy,946.2000122070312,,
1997-12-12,Sell,,953.3900146484376,1.0
1997-12-31,Buy,970.4299926757812,,
1998-01-09,Sell,,927.6900024414062,0.0
1998-01-20,Buy,978.5999755859376,,
1998-03-05,Sell,,1035.050048828125,1.0
1998-03-11,Buy,1068.469970703125,,
1998-03-30,Sell,,1093.5999755859375,1.0
1998-04-03,Buy,1122.699951171875,,
1998-04-07,Sell,,1109.550048828125,0.0
1998-06-08,Buy,1115.719970703125,,
1998-06-15,Sell,,1077.010009765625,0.0
1998-06-18,Buy,1106.3699951171875,,
1998-07-22,Sell,,1164.0799560546875,1.0
1998-08-19,Buy,1098.06005859375,,
1998-08-27,Sell,,1042.5899658203125,0.0
1998-09-14,Buy,1029.719970703125,,
1998-10-02,Sell,,1002.5999755859376,0.0
1998-10-14,Buy,1005.530029296875,,
1998-12-02,Sell,,1171.25,1.0
1998-12-22,Buy,1203.5699462890625,,
1999-01-13,Sell,,1234.4000244140625,1.0
1999-02-01,Buy,1273.0,,
1999-02-02,Sell,,1261.989990234375,0.0
1999-02-03,Buy,1272.0699462890625,,
1999-02-04,Sell,,1248.489990234375,0.0
1999-02-23,Buy,1271.1800537109375,,
1999-02-26,Sell,,1238.3299560546875,0.0
1999-03-05,Buy,1275.469970703125,,
1999-03-23,Sell,,1262.1400146484375,0.0
1999-04-05,Buy,1321.1199951171875,,
1999-04-16,Sell,,1319.0,0.0
1999-04-23,Buy,1356.8499755859375,,
1999-04-30,Sell,,1335.1800537109375,0.0
1999-05-13,Buy,1367.56005859375,,
1999-05-14,Sell,,1337.800048828125,0.0
1999-06-07,Buy,1334.52001953125,,
1999-06-11,Sell,,1293.6400146484375,0.0
1999-06-16,Buy,1330.4100341796875,,
1999-07-20,Sell,,1377.0999755859375,1.0
1999-08-17,Buy,1344.1600341796875,,
1999-09-02,Sell,,1319.1099853515625,0.0
1999-09-03,Buy,1357.239990234375,,
1999-09-15,Sell,,1317.969970703125,0.0
1999-10-06,Buy,1325.4000244140625,,
1999-10-15,Sell,,1247.4100341796875,0.0
1999-10-22,Buy,1301.6500244140625,,
1999-11-29,Sell,,1407.8299560546875,1.0
1999-12-23,Buy,1458.3399658203125,,
2000-01-04,Sell,,1399.4200439453125,0.0
2000-01-18,Buy,1455.1400146484375,,
2000-01-20,Sell,,1445.5699462890625,0.0
2000-02-07,Buy,1424.239990234375,,
2000-02-11,Sell,,1387.1199951171875,0.0
2000-03-02,Buy,1381.760009765625,,
2000-04-05,Sell,,1487.3699951171875,1.0
2000-05-16,Buy,1466.0400390625,,
2000-05-22,Sell,,1400.719970703125,0.0
2000-05-31,Buy,1420.5999755859375,,
2000-06-23,Sell,,1441.47998046875,1.0
2000-07-10,Buy,1475.6199951171875,,
2000-07-24,Sell,,1464.2900390625,0.0
2000-08-08,Buy,1482.800048828125,,
2000-09-06,Sell,,1492.25,1.0
2000-10-20,Buy,1396.9300537109375,,
2000-11-13,Sell,,1351.260009765625,0.0
2000-12-05,Buy,1376.5400390625,,
2000-12-18,Sell,,1322.739990234375,0.0
2000-12-28,Buy,1334.219970703125,,
2001-01-02,Sell,,1283.27001953125,0.0
2001-01-03,Buy,1347.56005859375,,
2001-02-07,Sell,,1340.8900146484375,0.0
2001-03-08,Buy,1264.739990234375,,
2001-03-12,Sell,,1180.1600341796875,0.0
2001-03-27,Buy,1182.1700439453125,,
2001-05-11,Sell,,1245.6700439453125,1.0
2001-05-17,Buy,1288.489990234375,,
2001-05-25,Sell,,1277.8900146484375,0.0
2001-07-02,Buy,1236.719970703125,,
2001-07-06,Sell,,1190.5899658203125,0.0
2001-07-17,Buy,1214.43994140625,,
